observation_id,date,time,species_guess,scientific_name,rank,taxon_id,coordinates,place,lat_lon,grade,user
286916360,6/1/2025,2025-06-01T08:08:00-06:00,Cornetfishes,Fistularia,genus,47248,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916357,5/31/2025,2025-05-31T09:56:00-06:00,King Angelfish,Holacanthus passer,species,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916355,5/31/2025,2025-05-31T09:56:00-06:00,Blue-barred Parrotfish,Scarus ghobban,species,84175,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916353,5/31/2025,2025-05-31T09:55:00-06:00,Spotted Sharpnose Puffer,Canthigaster punctatissima,species,96714,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916351,5/31/2025,2025-05-31T09:52:00-06:00,Periglypta multicostata,Periglypta multicostata,species,328442,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916350,5/31/2025,2025-05-31T09:52:00-06:00,Pacific Graysby,Cephalopholis panamensis,species,97000,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916347,5/31/2025,2025-05-31T09:50:00-06:00,Leptogorgia alba,Leptogorgia alba,species,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916345,5/31/2025,2025-05-31T09:50:00-06:00,Longnose Hawkfish,Oxycirrhites typus,species,121197,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916344,5/31/2025,2025-05-31T09:46:00-06:00,Jewel Moray,Muraena lentiginosa,species,85111,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916341,5/31/2025,2025-05-31T09:46:00-06:00,Leptogorgia alba,Leptogorgia alba,species,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916340,5/31/2025,2025-05-31T09:45:00-06:00,Leptogorgia,Leptogorgia,genus,195584,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916339,5/31/2025,2025-05-31T09:43:00-06:00,King Angelfish,Holacanthus passer,species,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916338,5/31/2025,2025-05-31T09:42:00-06:00,Hourglass Moray,Muraena clepsydra,species,106237,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916336,5/31/2025,2025-05-31T09:42:00-06:00,Bluntspine Blenny,Acanthemblemaria exilispinus,species,93031,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916334,5/31/2025,2025-05-31T09:40:00-06:00,Cauliflower Corals,Pocillopora,genus,60547,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916330,5/31/2025,2025-05-31T09:37:00-06:00,Spinster Wrasse,Halichoeres nicholsi,species,56919,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916329,5/31/2025,2025-05-31T09:35:00-06:00,King Angelfish,Holacanthus passer,species,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916326,5/31/2025,2025-05-31T09:33:00-06:00,Cauliflower Corals,Pocillopora,genus,60547,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916324,5/31/2025,2025-05-31T09:33:00-06:00,Microspathodon,Microspathodon,genus,49754,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916323,5/31/2025,2025-05-31T08:36:00-06:00,Gafftopsail Pompano,Trachinotus rhodopus,species,85122,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916321,5/31/2025,2025-05-31T08:29:00-06:00,Rose Flower Urchin,Toxopneustes roseus,species,195811,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916320,5/31/2025,2025-05-31T08:25:00-06:00,Bluefin Trevally,Caranx melampygus,species,123690,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916318,5/31/2025,2025-05-31T08:23:00-06:00,Hexaplex,Hexaplex,genus,244554,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916317,5/31/2025,2025-05-31T08:22:00-06:00,Spinster Wrasse,Halichoeres nicholsi,species,56919,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916316,5/31/2025,2025-05-31T08:20:00-06:00,Ashy Pink Sea Cucumber,Holothuria fuscocinerea,species,195764,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916315,5/31/2025,2025-05-31T08:19:00-06:00,Rose Flower Urchin,Toxopneustes roseus,species,195811,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916314,5/31/2025,2025-05-31T08:17:00-06:00,Starry Grouper,Epinephelus labriformis,species,67529,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916313,5/31/2025,2025-05-31T08:15:00-06:00,Leptogorgia alba,Leptogorgia alba,species,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916312,5/31/2025,2025-05-31T08:13:00-06:00,Leptogorgia alba,Leptogorgia alba,species,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916310,5/31/2025,2025-05-31T08:15:00-06:00,Longnose Hawkfish,Oxycirrhites typus,species,121197,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916307,5/31/2025,2025-05-31T08:13:00-06:00,Pacific Graysby,Cephalopholis panamensis,species,97000,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916305,5/31/2025,2025-05-31T08:09:00-06:00,Hourglass Moray,Muraena clepsydra,species,106237,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916301,5/31/2025,2025-05-31T08:09:00-06:00,King Angelfish,Holacanthus passer,species,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916300,5/31/2025,2025-05-31T08:08:00-06:00,Bluntspine Blenny,Acanthemblemaria exilispinus,species,93031,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916298,5/31/2025,2025-05-31T08:07:00-06:00,Hourglass Moray,Muraena clepsydra,species,106237,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916296,5/31/2025,2025-05-31T08:06:00-06:00,Starry Grouper,Epinephelus labriformis,species,67529,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916295,5/31/2025,2025-05-31T08:07:00-06:00,Heart Urchins,Spatangoida,order,152898,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916293,5/31/2025,2025-05-31T08:06:00-06:00,Mexican Hogfish,Bodianus diplotaenia,species,57333,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916291,5/31/2025,2025-05-31T08:05:00-06:00,King Angelfish,Holacanthus passer,species,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916289,5/31/2025,2025-05-31T08:05:00-06:00,Spinster Wrasse,Halichoeres nicholsi,species,56919,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916287,5/31/2025,2025-05-31T08:03:00-06:00,Rose Flower Urchin,Toxopneustes roseus,species,195811,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
282465382,5/4/2025,2025-05-04T11:14:00-06:00,Orangespotted Filefish,Cantherhines pullus,species,49275,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465381,5/4/2025,2025-05-04T11:14:00-06:00,Yellowtail Parrotfish,Sparisoma rubripinne,species,112864,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465377,5/4/2025,2025-05-04T11:13:00-06:00,Haemulon,Haemulon,genus,49264,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465376,5/4/2025,2025-05-04T11:10:00-06:00,Haemulon,Haemulon,genus,49264,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465375,5/4/2025,2025-05-04T11:07:00-06:00,Reef Urchin,Echinometra viridis,species,128200,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465372,5/4/2025,2025-05-04T11:03:00-06:00,Caribbean Spiny Lobster,Panulirus argus,species,47299,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465371,5/4/2025,2025-05-04T10:53:00-06:00,Branching Anemone,Lebrunia neglecta,species,764666,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465370,5/4/2025,2025-05-04T10:50:00-06:00,Orangespotted Filefish,Cantherhines pullus,species,49275,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465369,5/4/2025,2025-05-04T10:49:00-06:00,Yellowtail Parrotfish,Sparisoma rubripinne,species,112864,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465366,5/4/2025,2025-05-04T10:43:00-06:00,Branching Anemone,Lebrunia neglecta,species,764666,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465365,5/4/2025,2025-05-04T10:41:00-06:00,Goldentail Moray,Gymnothorax miliaris,species,49256,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465364,5/4/2025,2025-05-04T10:37:00-06:00,Yellowtail Damselfish,Microspathodon chrysurus,species,49753,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465363,5/4/2025,2025-05-04T10:37:00-06:00,Fire Corals,Millepora,genus,89967,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465360,5/4/2025,2025-05-04T10:33:00-06:00,Doctorfish,Acanthurus chirurgus,species,121195,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465359,5/4/2025,2025-05-04T10:33:00-06:00,Caribbean Bluehead Wrasse,Thalassoma bifasciatum,species,49491,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465358,5/4/2025,2025-05-04T10:33:00-06:00,Orangespotted Filefish,Cantherhines pullus,species,49275,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465355,5/4/2025,2025-05-04T10:32:00-06:00,Ridged Cactus Coral,Mycetophyllia lamarckiana,species,106302,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465352,5/4/2025,2025-05-04T10:32:00-06:00,Caribbean Sea Mat,Palythoa caribaeorum,species,324157,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465351,5/4/2025,2025-05-04T10:24:00-06:00,Rose Lace Coral,Stylaster roseus,species,131856,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465350,5/4/2025,2025-05-04T10:24:00-06:00,Stony Corals,Scleractinia,order,47532,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465346,5/4/2025,2025-05-04T10:23:00-06:00,Mountainous Star Coral,Orbicella faveolata,species,503516,"[-82.7631759401, 9.7941421342]",,"9.7941421342,-82.7631759401",needs_id,d_gonzalez
282465345,5/4/2025,2025-05-04T10:22:00-06:00,Rose Lace Coral,Stylaster roseus,species,131856,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465344,5/4/2025,2025-05-04T10:20:00-06:00,Purple Sea Fan,Gorgonia ventalina,species,120130,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465336,5/4/2025,2025-05-04T10:15:00-06:00,Mat Zoanthid,Zoanthus pulchellus,species,132482,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465335,5/4/2025,2025-05-04T10:12:00-06:00,Atlantic Rock-boring Urchin,Echinometra lucunter,species,194691,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465334,5/4/2025,2025-05-04T10:11:00-06:00,Golf Ball Coral,Favia fragum,species,503811,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465330,5/4/2025,2025-05-04T10:10:00-06:00,Caribbean Sea Mat,Palythoa caribaeorum,species,324157,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465326,5/4/2025,2025-05-04T10:09:00-06:00,Lettuce Sea Slug,Elysia crispata,species,119875,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465325,5/4/2025,2025-05-04T10:08:00-06:00,Brittle Stars,Ophiuroidea,class,48836,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465321,5/4/2025,2025-05-04T10:07:00-06:00,Slate Pencil Urchin,Eucidaris tribuloides,species,47836,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465318,5/4/2025,2025-05-04T10:02:00-06:00,Agaricia,Agaricia,genus,86272,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465316,5/4/2025,2025-05-04T10:00:00-06:00,Pennaria,Pennaria,genus,191218,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465315,5/4/2025,2025-05-04T09:59:00-06:00,Acanthurus,Acanthurus,genus,55382,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465312,5/4/2025,2025-05-04T09:59:00-06:00,Atlantic Blue Tang,Acanthurus coeruleus,species,121196,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465307,5/4/2025,2025-05-04T09:59:00-06:00,Graysby,Cephalopholis cruentata,species,96991,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465306,5/4/2025,2025-05-04T09:58:00-06:00,Plexaurid Sea Fans,Plexauridae,family,85999,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465305,5/4/2025,2025-05-04T09:59:00-06:00,Caribbean Sea Mat,Palythoa caribaeorum,species,324157,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465297,5/4/2025,2025-05-04T09:52:00-06:00,Stony Corals,Scleractinia,order,47532,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465296,5/4/2025,2025-05-04T09:49:00-06:00,Plexaurid Sea Fans,Plexauridae,family,85999,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465295,5/4/2025,2025-05-04T09:48:00-06:00,Slate Pencil Urchin,Eucidaris tribuloides,species,47836,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465294,5/4/2025,2025-05-04T09:44:00-06:00,Lettuce Sea Slug,Elysia crispata,species,119875,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465293,5/4/2025,2025-05-04T09:46:00-06:00,Bearded Fireworm,Hermodice carunculata,species,49520,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez
282465292,5/4/2025,2025-05-04T09:40:00-06:00,Labrisomus,Labrisomus,genus,89289,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465289,5/4/2025,2025-05-04T09:39:00-06:00,Atlantic Rock-boring Urchin,Echinometra lucunter,species,194691,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465288,5/4/2025,2025-05-04T09:36:00-06:00,Slate Pencil Urchin,Eucidaris tribuloides,species,47836,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465287,5/4/2025,2025-05-04T10:24:00-06:00,Mustard Hill Coral,Porites astreoides,species,110084,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465283,5/4/2025,2025-05-04T11:12:00-06:00,Knobby Brain Coral,Pseudodiploria clivosa,species,504640,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465277,5/4/2025,2025-05-04T09:34:00-06:00,Pore Corals,Porites,genus,47530,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465276,5/4/2025,2025-05-04T09:33:00-06:00,Massive Starlet Coral,Siderastrea siderea,species,112557,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465275,5/4/2025,2025-05-04T10:10:00-06:00,Stony Corals,Scleractinia,order,47532,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465269,5/4/2025,2025-05-04T09:30:00-06:00,Stony Corals,Scleractinia,order,47532,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465263,5/4/2025,2025-05-04T09:39:00-06:00,Knobby Brain Coral,Pseudodiploria clivosa,species,504640,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465262,5/4/2025,2025-05-04T09:29:00-06:00,"Pike-Blennies, Tube-Blennies, and Flagblennies",Chaenopsidae,family,85674,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465261,5/4/2025,2025-05-04T09:33:00-06:00,Boulder Brain Coral,Colpophyllia natans,species,98317,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465255,5/4/2025,2025-05-04T09:29:00-06:00,Knobby Brain Coral,Pseudodiploria clivosa,species,504640,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465249,5/4/2025,2025-05-04T09:56:00-06:00,Knobby Brain Coral,Pseudodiploria clivosa,species,504640,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez
282465248,5/3/2025,2025-05-03T13:21:00-06:00,Haemulon,Haemulon,genus,49264,"[-82.8245257863, 9.7456766122]","Limón Province, Cahuita, Costa Rica","9.7456766122,-82.8245257863",needs_id,d_gonzalez
282465247,5/3/2025,2025-05-03T13:18:00-06:00,Malacostracans,Malacostraca,class,47187,"[-82.8245257863, 9.7456766122]","Limón Province, Cahuita, Costa Rica","9.7456766122,-82.8245257863",needs_id,d_gonzalez
