observation_id,date,time,species_guess,taxon_id,coordinates,place,lat_lon,grade,user,kingdom,phylum,class,order,family,genus,scientific_name,rank
286916369,6/1/2025,2025-06-01T08:12:00-06:00,Bull Shark,84996,"[-85.8601700554, 10.8782589231]",Costa Rica,"10.8782589231,-85.8601700554",research,d_gonzalez,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus leucas,species
286916363,6/1/2025,2025-06-01T08:12:00-06:00,Bull Shark,84996,"[-85.9488771563, 10.967090654]",Costa Rica,"10.967090654,-85.9488771563",research,d_gonzalez,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus leucas,species
286916362,6/1/2025,2025-06-01T08:12:00-06:00,Spinster Wrasse,56919,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,Halichoeres nicholsi,species
286916360,6/1/2025,2025-06-01T08:08:00-06:00,Cornetfishes,47248,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Syngnathiformes,Fistulariidae,Fistularia,Fistularia,genus
286916357,5/31/2025,2025-05-31T09:56:00-06:00,King Angelfish,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,Holacanthus passer,species
286916355,5/31/2025,2025-05-31T09:56:00-06:00,Blue-barred Parrotfish,84175,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Scarus,Scarus ghobban,species
286916353,5/31/2025,2025-05-31T09:55:00-06:00,Spotted Sharpnose Puffer,96714,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster punctatissima,species
286916351,5/31/2025,2025-05-31T09:52:00-06:00,Periglypta multicostata,328442,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Periglypta,Periglypta multicostata,species
286916350,5/31/2025,2025-05-31T09:52:00-06:00,Pacific Graysby,97000,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Perciformes,Epinephelidae,Cephalopholis,Cephalopholis panamensis,species
286916347,5/31/2025,2025-05-31T09:50:00-06:00,Leptogorgia alba,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia alba,species
286916345,5/31/2025,2025-05-31T09:50:00-06:00,Longnose Hawkfish,121197,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Centrarchiformes,Cirrhitidae,Oxycirrhites,Oxycirrhites typus,species
286916344,5/31/2025,2025-05-31T09:46:00-06:00,Jewel Moray,85111,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Muraena,Muraena lentiginosa,species
286916341,5/31/2025,2025-05-31T09:46:00-06:00,Leptogorgia alba,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia alba,species
286916340,5/31/2025,2025-05-31T09:45:00-06:00,Leptogorgia,195584,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia,genus
286916339,5/31/2025,2025-05-31T09:43:00-06:00,King Angelfish,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,Holacanthus passer,species
286916338,5/31/2025,2025-05-31T09:42:00-06:00,Hourglass Moray,106237,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Muraena,Muraena clepsydra,species
286916336,5/31/2025,2025-05-31T09:42:00-06:00,Bluntspine Blenny,93031,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria exilispinus,species
286916334,5/31/2025,2025-05-31T09:40:00-06:00,Cauliflower Corals,60547,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Scleractinia,Pocilloporidae,Pocillopora,Pocillopora,genus
286916330,5/31/2025,2025-05-31T09:37:00-06:00,Spinster Wrasse,56919,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,Halichoeres nicholsi,species
286916329,5/31/2025,2025-05-31T09:35:00-06:00,King Angelfish,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,Holacanthus passer,species
286916326,5/31/2025,2025-05-31T09:33:00-06:00,Cauliflower Corals,60547,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Scleractinia,Pocilloporidae,Pocillopora,Pocillopora,genus
286916324,5/31/2025,2025-05-31T09:33:00-06:00,Microspathodon,49754,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Microspathodon,Microspathodon,genus
286916323,5/31/2025,2025-05-31T08:36:00-06:00,Gafftopsail Pompano,85122,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachinotus,Trachinotus rhodopus,species
286916321,5/31/2025,2025-05-31T08:29:00-06:00,Rose Flower Urchin,195811,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Toxopneustes,Toxopneustes roseus,species
286916320,5/31/2025,2025-05-31T08:25:00-06:00,Bluefin Trevally,123690,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,Caranx melampygus,species
286916318,5/31/2025,2025-05-31T08:23:00-06:00,Hexaplex,244554,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Hexaplex,Hexaplex,genus
286916317,5/31/2025,2025-05-31T08:22:00-06:00,Spinster Wrasse,56919,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,Halichoeres nicholsi,species
286916316,5/31/2025,2025-05-31T08:20:00-06:00,Ashy Pink Sea Cucumber,195764,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,Holothuria fuscocinerea,species
286916315,5/31/2025,2025-05-31T08:19:00-06:00,Rose Flower Urchin,195811,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Toxopneustes,Toxopneustes roseus,species
286916314,5/31/2025,2025-05-31T08:17:00-06:00,Starry Grouper,67529,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Perciformes,Epinephelidae,Epinephelus,Epinephelus labriformis,species
286916313,5/31/2025,2025-05-31T08:15:00-06:00,Leptogorgia alba,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia alba,species
286916312,5/31/2025,2025-05-31T08:13:00-06:00,Leptogorgia alba,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia alba,species
286916310,5/31/2025,2025-05-31T08:15:00-06:00,Longnose Hawkfish,121197,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Centrarchiformes,Cirrhitidae,Oxycirrhites,Oxycirrhites typus,species
286916307,5/31/2025,2025-05-31T08:13:00-06:00,Pacific Graysby,97000,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Perciformes,Epinephelidae,Cephalopholis,Cephalopholis panamensis,species
286916305,5/31/2025,2025-05-31T08:09:00-06:00,Hourglass Moray,106237,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Muraena,Muraena clepsydra,species
286916301,5/31/2025,2025-05-31T08:09:00-06:00,King Angelfish,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,Holacanthus passer,species
286916300,5/31/2025,2025-05-31T08:08:00-06:00,Bluntspine Blenny,93031,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria exilispinus,species
286916298,5/31/2025,2025-05-31T08:07:00-06:00,Hourglass Moray,106237,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Muraena,Muraena clepsydra,species
286916296,5/31/2025,2025-05-31T08:06:00-06:00,Starry Grouper,67529,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Perciformes,Epinephelidae,Epinephelus,Epinephelus labriformis,species
286916295,5/31/2025,2025-05-31T08:07:00-06:00,Heart Urchins,152898,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Echinodermata,Echinoidea,Spatangoida,,,Spatangoida,order
286916293,5/31/2025,2025-05-31T08:06:00-06:00,Mexican Hogfish,57333,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Bodianus,Bodianus diplotaenia,species
286916291,5/31/2025,2025-05-31T08:05:00-06:00,King Angelfish,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,Holacanthus passer,species
286916289,5/31/2025,2025-05-31T08:05:00-06:00,Spinster Wrasse,56919,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,Halichoeres nicholsi,species
286916287,5/31/2025,2025-05-31T08:03:00-06:00,Rose Flower Urchin,195811,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Toxopneustes,Toxopneustes roseus,species
282465382,5/4/2025,2025-05-04T11:14:00-06:00,Orangespotted Filefish,49275,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Cantherhines,Cantherhines pullus,species
282465381,5/4/2025,2025-05-04T11:14:00-06:00,Yellowtail Parrotfish,112864,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Sparisoma,Sparisoma rubripinne,species
282465377,5/4/2025,2025-05-04T11:13:00-06:00,Haemulon,49264,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,Haemulon,genus
282465376,5/4/2025,2025-05-04T11:10:00-06:00,Haemulon,49264,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,Haemulon,genus
282465375,5/4/2025,2025-05-04T11:07:00-06:00,Reef Urchin,128200,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra viridis,species
282465372,5/4/2025,2025-05-04T11:03:00-06:00,Caribbean Spiny Lobster,47299,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus argus,species
282465371,5/4/2025,2025-05-04T10:53:00-06:00,Branching Anemone,764666,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Actiniaria,Aliciidae,Lebrunia,Lebrunia neglecta,species
282465370,5/4/2025,2025-05-04T10:50:00-06:00,Orangespotted Filefish,49275,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Cantherhines,Cantherhines pullus,species
282465369,5/4/2025,2025-05-04T10:49:00-06:00,Yellowtail Parrotfish,112864,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Sparisoma,Sparisoma rubripinne,species
282465366,5/4/2025,2025-05-04T10:43:00-06:00,Branching Anemone,764666,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Actiniaria,Aliciidae,Lebrunia,Lebrunia neglecta,species
282465365,5/4/2025,2025-05-04T10:41:00-06:00,Goldentail Moray,49256,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax miliaris,species
282465364,5/4/2025,2025-05-04T10:37:00-06:00,Yellowtail Damselfish,49753,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Microspathodon,Microspathodon chrysurus,species
282465363,5/4/2025,2025-05-04T10:37:00-06:00,Fire Corals,89967,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,Millepora,genus
282465360,5/4/2025,2025-05-04T10:33:00-06:00,Doctorfish,121195,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus chirurgus,species
282465359,5/4/2025,2025-05-04T10:33:00-06:00,Caribbean Bluehead Wrasse,49491,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Thalassoma,Thalassoma bifasciatum,species
282465358,5/4/2025,2025-05-04T10:33:00-06:00,Orangespotted Filefish,49275,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Cantherhines,Cantherhines pullus,species
282465355,5/4/2025,2025-05-04T10:32:00-06:00,Ridged Cactus Coral,106302,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Scleractinia,Faviidae,Mycetophyllia,Mycetophyllia lamarckiana,species
282465352,5/4/2025,2025-05-04T10:32:00-06:00,Caribbean Sea Mat,324157,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Zoantharia,Sphenopidae,Palythoa,Palythoa caribaeorum,species
282465351,5/4/2025,2025-05-04T10:24:00-06:00,Rose Lace Coral,131856,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,Stylaster roseus,species
282465350,5/4/2025,2025-05-04T10:24:00-06:00,Stony Corals,47532,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Scleractinia,,,Scleractinia,order
282465346,5/4/2025,2025-05-04T10:23:00-06:00,Mountainous Star Coral,503516,"[-82.7631759401, 9.7941421342]",,"9.7941421342,-82.7631759401",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Scleractinia,Merulinidae,Orbicella,Orbicella faveolata,species
282465345,5/4/2025,2025-05-04T10:22:00-06:00,Rose Lace Coral,131856,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,Stylaster roseus,species
282465344,5/4/2025,2025-05-04T10:20:00-06:00,Purple Sea Fan,120130,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Gorgonia,Gorgonia ventalina,species
282465336,5/4/2025,2025-05-04T10:15:00-06:00,Mat Zoanthid,132482,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Zoantharia,Zoanthidae,Zoanthus,Zoanthus pulchellus,species
282465335,5/4/2025,2025-05-04T10:12:00-06:00,Atlantic Rock-boring Urchin,194691,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,species
282465334,5/4/2025,2025-05-04T10:11:00-06:00,Golf Ball Coral,503811,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Scleractinia,Faviidae,Favia,Favia fragum,species
282465330,5/4/2025,2025-05-04T10:10:00-06:00,Caribbean Sea Mat,324157,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",needs_id,d_gonzalez,Animalia,Cnidaria,Hexacorallia,Zoantharia,Sphenopidae,Palythoa,Palythoa caribaeorum,species
282465326,5/4/2025,2025-05-04T10:09:00-06:00,Lettuce Sea Slug,119875,"[-82.6944956837, 9.6428193444]","Limón Province, Punta Uva, Costa Rica","9.6428193444,-82.6944956837",research,d_gonzalez,Animalia,Mollusca,Gastropoda,,Plakobranchidae,Elysia,Elysia crispata,species
